message,freq,data,authors,retweeted_authors
rt @annamasera: a #pasocial anche @montecitorio https://t.co/t1pa7sj1ff,32,2015-11-17,MarcheDel,
rt @fdicos10: #pasocial siamo in tantissimi a @palazzo_chigi per gli stati generali della nuova comunicazione pubblica https://t.co/72qr328…,28,2015-11-17,FrancescoPigno,
"rt @fdicos10: #pasocial lavoro, servizi, innovazione: domani a roma gli stati generali della nuova comunicazione pubblica @agidgov https://…",26,2015-11-16,visitorcity,
"rt @fdicos10: non più solo passatempo, i social ora danno lavoro e servizi ai cittadini. ne parlo oggi su @unitaonline #pasocial https://t.…",25,2015-11-17,AleBezzi,
"rt @cittadiniditwtt: una buona comunicazione non può sostituire una cattiva amministrazione, ma può aiutare a migliorare la sua percezione …",23,2015-11-17,maraina81,
rt @nuppolina: #savethedate: il 17/11 a roma convegno suruolo e importanza del social media manager pubblico #pasocial https://t.co/6cvw2ey…,19,2015-11-14,silamberti,
rt @cittadiniditwtt: in diretta su #periscope: il social media manager. stati generali della nuova comunicazione pubblica #pasocial https:/…,18,2015-11-17,serafinopaterno,
rt @diritto2punto0: curiosità: quanti degli enti presenti a #pasocial hanno una social media policy?,17,2015-11-17,marco_virno,
rt @agidgov: stati generali comunicazione pubblica: il #socialmediamanager convegno il 17/11 a roma #pasocial https://t.co/jcx6ebnxbt #save…,16,2015-11-17,alelovari,
rt @alemiglioz: #pasocial e questa è la paziente sala in ascolto :-) https://t.co/15ymdues4o,16,2015-11-17,TukultiPD,
"rt @cittadiniditwtt: caterina perniconi ""perché non un bando pubblico per il #socialmediamanager di un ministero invece di incarico diretto…",16,2015-11-17,AntonelliElisa,
rt @mipaafsocial: la comunicazione pubblica è sempre più social.vi aspettiamo tra poco a @palazzo_chigi per parlarne insieme #pasocial http…,16,2015-11-17,MAFlumero,
rt @simonemengoni: #pasocial possibile solo immettendo nella #pa risorse nuove e preparate: vincitori e #idonei #concorsi @mariannamadia @a…,16,2015-11-17,Ada_Anto83,
"rt @cittadiniditwtt: la camera dei deputati sui social, il racconto di @annamasera a #pasocial https://t.co/b6iu0epak1 @montecitorio",15,2015-11-17,larobiz,
rt @crisislabtweet: tutte le conversazioni su #pasocial raccolte in una @tagboard: https://t.co/uz9oosntkn @cittadiniditwtt,15,2015-11-17,capotopi,
rt @italia_sicura: #pasocial oggi a roma gli stati generali della nuova comunicazione pubblica https://t.co/byuc3xp3rz,15,2015-11-17,pianetaexpo2015,
"rt @lindaemme: il governo alla prova social, il racconto di @ubimaggio a #pasocial che potete rivedere anche su @cittadiniditwtt https://t.…",15,2015-11-17,pietroscarpave,
rt @miursocial: fra poco a #pasocial per raccontarvi la nostra esperienza social https://t.co/xido16hq4h,15,2015-11-17,Laura271282,
rt @miursocial: #pasocial il 17/11 a roma. ci saremo anche noi. https://t.co/jjlr317crk,15,2015-11-17,anansecommunica,
rt @cittadiniditwtt: fondamentale per la vittoria di @matera2019 la partecipazione dal basso. gli # hanno contribuito a rendere la discussi…,14,2015-11-17,PieraMasta,
rt @fnicodemo: martedì con @alessioviola @f_piccinini @elisacalessi @fioskyna parliamo di storytelling e comunicazione #pasocial https://t.…,14,2015-11-16,nuppolina,
rt @matera2019: la cura con cui vengono utlizzati questi strumenti può fare la differenza! esperienze e metodi x #pasocial #mt2019 https://…,14,2015-11-17,FalcionelliFede,
rt @chiarabianchini: 80% degli utenti twitter lo utilizza da mobile per questo contenuti devono adattarsi a questo formato @liviacolare #pa…,13,2015-11-17,AleBezzi,
"rt @comunicazionepa: a questo appuntamento non dovrebbero assistere gli addetti, ma quelli che nelle #pa si oppongono ai #pasocial",13,2015-11-17,marcolaudonio,
rt @fdicos10: storytelling nella comunicazione pubblica. a #pasocial @fnicodemo @elisacalessi @alessioviola @fioskyna @f_piccinini https://…,13,2015-11-13,visitorcity,
rt @federicoruysch2: #pasocial assumere vincitori di concorso ancora in attesa da anni e proroga graduatorie colpite dal blocco mobilità pr…,13,2015-11-17,francesca58361,
rt @italia_sicura: #pasocial il 17/11 a @palazzo_chigi con @agidgov e protezione civile gli stati generali nuova comunicazione pubblica htt…,13,2015-11-17,trendinaliaIT,
rt @liviacolare: oggi presso la presidenza del consiglio dei ministri per gli stati generali della comunicazione pubblica #pasocial https:/…,13,2015-11-17,GiuseppeAriano,
rt @tosochris: fabrizio curcio capo della protezione civile ci racconta la connessione tra social e gestione emergenze #pasocial https://t.…,13,2015-11-17,donatellaluisa,
"rt @cittadiniditwtt: 'don't feed the troll' la prima regola che si è data la community @matera2019 
e una buona pratica per tutte le attivi…",12,2015-11-17,oraziolucano,
"rt @cittadiniditwtt: .@liviacolare ""i tweet non rimangono su #twitter ma possono riconfigurarsi in molti prodotti mediali"" #pasocial @twitt…",12,2015-11-17,Francesvivimar,
rt @comunicazionepa: ha ragione @annamasera le social media policy sono indispensabili per favorire lo sviluppo #pasocial,12,2015-11-17,larobiz,
rt @giornaleprociv: #pasocial: gli stati generali della nuova comunicazione pubblica il 17 novembre a roma - https://t.co/evjbagwiqd https:…,12,2015-11-12,PaolaGazzolo,
rt @italia_sicura: #pasocial a @palazzo_chigi gli stati generali della nuova comunicazione pubblica https://t.co/f12btaewml,12,2015-11-17,ecoazioni,
rt @mipaafsocial: #pasocial mipaaf: la nostra esperienza ' #startup ' nella #comunicazione social #openmipaaf https://t.co/ohfegyxmry,12,2015-11-17,paolomaiolin,
rt @simonemengoni: #pasocial possibile solo attraverso #ricambiogenerazionale:assunzione immediata vincitori e proroga graduatorie x #idone…,12,2015-11-17,Ada_Anto83,
rt @tosochris: siamo arrivati #pasocial https://t.co/6vggx0mrwy,12,2015-11-16,altenstern,
"rt @cittadiniditwtt: gestione delle emergenze, con i social informazioni in tempo reale adesso a #pasocial https://t.co/ajstvhwklo",11,2015-11-17,la_pacchioni,
