message,freq,data,authors,retweeted_authors
rt @annamasera: a #pasocial anche @montecitorio https://t.co/t1pa7sj1ff,32,2015-11-17,MarcheDel,
rt @fdicos10: #pasocial siamo in tantissimi a @palazzo_chigi per gli stati generali della nuova comunicazione pubblica https://t.co/72qr328…,28,2015-11-17,FrancescoPigno,
"rt @fdicos10: #pasocial lavoro, servizi, innovazione: domani a roma gli stati generali della nuova comunicazione pubblica @agidgov https://…",26,2015-11-16,visitorcity,
"rt @fdicos10: non più solo passatempo, i social ora danno lavoro e servizi ai cittadini. ne parlo oggi su @unitaonline #pasocial https://t.…",25,2015-11-17,AleBezzi,
"rt @cittadiniditwtt: una buona comunicazione non può sostituire una cattiva amministrazione, ma può aiutare a migliorare la sua percezione …",23,2015-11-17,maraina81,
rt @nuppolina: #savethedate: il 17/11 a roma convegno suruolo e importanza del social media manager pubblico #pasocial https://t.co/6cvw2ey…,19,2015-11-14,silamberti,
rt @cittadiniditwtt: in diretta su #periscope: il social media manager. stati generali della nuova comunicazione pubblica #pasocial https:/…,18,2015-11-17,serafinopaterno,
rt @diritto2punto0: curiosità: quanti degli enti presenti a #pasocial hanno una social media policy?,17,2015-11-17,marco_virno,
rt @agidgov: stati generali comunicazione pubblica: il #socialmediamanager convegno il 17/11 a roma #pasocial https://t.co/jcx6ebnxbt #save…,16,2015-11-17,alelovari,
rt @alemiglioz: #pasocial e questa è la paziente sala in ascolto :-) https://t.co/15ymdues4o,16,2015-11-17,TukultiPD,
"rt @cittadiniditwtt: caterina perniconi ""perché non un bando pubblico per il #socialmediamanager di un ministero invece di incarico diretto…",16,2015-11-17,AntonelliElisa,
